"","pathway","pval","padj","log2err","ES","NES","size"
"1","ABBUD_LIF_SIGNALING_1_DN",0.0169499876988569,0.0481757947631292,0.352487857583619,0.567302789263388,1.67977161430463,23
"2","ABBUD_LIF_SIGNALING_1_UP",0.00880944528514305,0.028367854054447,0.380730400722792,0.507168277881362,1.66846574936887,40
"3","ABBUD_LIF_SIGNALING_2_UP",0.290076335877863,0.442852076718918,0.107972360317345,0.45152830861184,1.15021631050519,13
"4","ABDELMOHSEN_ELAVL4_TARGETS",0.573359073359073,0.740729244236977,0.0702812841717392,0.342238917997761,0.904766115998657,15
"5","ABDULRAHMAN_KIDNEY_CANCER_VHL_DN",0.734082397003745,0.880749824141143,0.0568864160475701,0.311658225328389,0.781250732702407,12
"6","ABE_INNER_EAR",0.0966542750929368,0.184010540285906,0.195789002148949,0.402706324340679,1.32314809630149,39
"7","ABE_VEGFA_TARGETS",0.0810810810810811,0.160882507759606,0.219250346703755,0.550970149032221,1.45658221656236,15
"8","ABE_VEGFA_TARGETS_2HR",0.859022556390977,0.965195718903648,0.0497903187820785,0.238932791318846,0.735420541345235,29
"9","ABE_VEGFA_TARGETS_30MIN",0.96952380952381,1,0.0448645113168564,0.19809513417468,0.58568377130112,24
"10","ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN",0.305084745762712,0.461296254532207,0.103958471559957,0.396188226929903,1.13226246367932,20
"11","ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP",0.000717775543105934,0.00361272204788157,0.477270815362862,0.643515236851601,1.94175788774236,26
"12","ABRAMSON_INTERACT_WITH_AIRE",0.434862385321101,0.602909862708209,0.0819778796501272,0.308330904028497,1.01433700662924,40
"13","ACEVEDO_LIVER_CANCER_DN",1.96678433494175e-07,2.98759090878426e-06,0.690132458796796,0.361762405460163,1.67970328442789,485
"14","ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN",0.0588235294117647,0.12681073888877,0.241339976815091,0.31808194461434,1.30659094331743,146
"15","ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP",2.12813020832352e-11,7.81063441054886e-10,0.863415391606693,0.505670422511668,2.18161252313269,212
"16","ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN",0.000585915838947288,0.00303433540082342,0.477270815362862,0.482791845132325,1.82017522765515,80
"17","ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP",0.000671268327947378,0.00340474210286786,0.477270815362862,0.431931501101984,1.70006778965688,106
"18","ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN",1.2127650154449e-08,2.45418783433695e-07,0.747739663149885,0.456450992228429,1.98783993069018,241
"19","ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN",0.805687203791469,0.930208223369244,0.044774889329693,0.19757770531129,0.885987271882017,324
"20","ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP",4.6902566981933e-05,0.000360868838927399,0.557332238758646,0.429918532520637,1.77443766302378,155
"21","ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN",2.99669464690048e-05,0.000245937064840763,0.575610261071129,0.483918169528155,1.91569983453731,110
"22","ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP",0.991379310344828,1,0.0392758570896778,0.171000862243003,0.644690950148664,80
"23","ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN",0.000984007259247185,0.00466653201837208,0.45505986738723,0.475516168996953,1.74959848563236,70
"24","AFFAR_YY1_TARGETS_DN",0.00013907680324099,0.000898147355574872,0.518848077743792,0.378486471912915,1.64830515193189,241
"25","AFFAR_YY1_TARGETS_UP",3.83489556157423e-06,4.17318561203354e-05,0.610526878385931,0.446602249034135,1.89148157700962,180
"26","AGARWAL_AKT_PATHWAY_TARGETS",0.00846505309873532,0.0276048558280502,0.380730400722792,0.705335544896077,1.72566094905973,11
"27","AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN",0.94524959742351,1,0.0383205781976994,0.184993119501602,0.798606264167151,220
"28","AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP",0.995161290322581,1,0.035996889024589,0.168599031049032,0.744116670370862,275
"29","AIGNER_ZEB1_TARGETS",0.00184267371885968,0.00793612172357277,0.45505986738723,0.57737482918937,1.82986307594855,33
"30","AIYAR_COBRA1_TARGETS_DN",0.902255639097744,0.990787692144317,0.0475434194201301,0.228893500400477,0.704520216943733,29
"31","AIYAR_COBRA1_TARGETS_UP",0.00424147869111916,0.0156545269118196,0.407017918923954,0.546648961627392,1.74886913916972,35
"32","AKL_HTLV1_INFECTION_DN",0.00282137031402433,0.011310364440685,0.431707695803346,0.464041065501605,1.67589994948025,62
"33","AKL_HTLV1_INFECTION_UP",0.654716981132075,0.813611491379481,0.0626618230932491,0.291850125676674,0.868800502616629,25
"34","ALCALAY_AML_BY_NPM1_LOCALIZATION_DN",0.000817776089587525,0.00400019777597076,0.477270815362862,0.374353351928573,1.58481287239496,178
"35","ALCALAY_AML_BY_NPM1_LOCALIZATION_UP",4.33824058686403e-15,2.98077484043948e-13,0.996986217533181,0.646044113625773,2.57896558977965,119
"36","ALCALA_APOPTOSIS",0.182926829268293,0.305688527756318,0.133554954557592,0.309527325469902,1.17221749974522,83
"37","ALFANO_MYC_TARGETS",2.91744035663496e-05,0.000240434519767866,0.575610261071129,0.396952655444818,1.71874661360629,227
"38","ALONSO_METASTASIS_DN",0.294007490636704,0.447524539457054,0.105920292736253,0.380811227909064,1.12757402776165,23
