PeakID (cmd=annotatePeaks.pl results/reproducible_peaks_filtered.bed hg38 -gtf results/gencode.v45.primary_assembly.annotation.gtf -go results/go_analysis)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rep3_peak_68	KI270337.1	539	539	+	530.892	NA	NA	NA	NA	NA								
rep3_peak_98	KI270729.1	3585	3585	+	140.237	NA	NA	NA	NA	NA								
rep3_peak_26091	chr7	143620727	143620727	+	116.791	NA	promoter-TSS (ENST00000444908.7)	protein_coding-promoter-TSS (ENST00000444908.7)	-216	ENST00000642873.1	ENSG00000290786	ENST00000642873			ENSG00000290786			lncRNA
rep3_peak_21679	chr5	108748900	108748900	+	97.973	NA	promoter-TSS (ENST00000502752.1)	protein_coding-promoter-TSS (ENST00000502752.1)	-62	ENST00000504143.6	ENSG00000151422	ENST00000438717			FER			protein_coding
rep3_peak_22182	chr5	146447235	146447235	+	93.1211	NA	promoter-TSS (ENST00000296702.9)	protein_coding-promoter-TSS (ENST00000296702.9)	-76	ENST00000507175.5	ENSG00000113649	ENST00000504116			TCERG1			protein_coding
rep3_peak_25842	chr7	122144307	122144307	+	87.8955	NA	promoter-TSS (ENST00000417368.7)	protein_coding-promoter-TSS (ENST00000417368.7)	1	ENST00000681708.1	ENSG00000008311	ENST00000679721			AASS			protein_coding
rep3_peak_12799	chr2	740683	740683	+	86.0276	NA	promoter-TSS (ENST00000606068.1)	lncRNA-promoter-TSS (ENST00000606068.1)	-202	ENST00000693641.1	ENSG00000223751	ENST00000425850			ENSG00000223751			lncRNA
rep3_peak_10373	chr16	78099520	78099520	+	81.6849	NA	promoter-TSS (ENST00000355860.7)	protein_coding-promoter-TSS (ENST00000355860.7)	68	ENST00000682609.1	ENSG00000186153	ENST00000539474			WWOX			protein_coding
rep3_peak_22295	chr5	154038915	154038915	+	66.4432	NA	promoter-TSS (ENST00000322602.9)	protein_coding-promoter-TSS (ENST00000322602.9)	-5	ENST00000518900.1	ENSG00000055147	ENST00000520667			FAM114A2			protein_coding
rep3_peak_18509	chr3	179562885	179562885	+	65.2175	NA	promoter-TSS (ENST00000392662.5)	protein_coding-promoter-TSS (ENST00000392662.5)	-1	ENST00000450518.6	ENSG00000136518	ENST00000486471			ACTL6A			protein_coding
rep3_peak_11851	chr18	63936319	63936319	+	63.901	NA	TTS (ENST00000238508.8)	protein_coding-TTS (ENST00000238508.8)	-12982	ENST00000408945.5	ENSG00000221887	ENST00000481726			HMSD			protein_coding
rep3_peak_17511	chr3	84958924	84958924	+	62.1559	NA	promoter-TSS (ENST00000383699.8)	protein_coding-promoter-TSS (ENST00000383699.8)	-65	ENST00000383699.8	ENSG00000175161	ENST00000383699			CADM2			protein_coding
rep3_peak_13025	chr2	20651155	20651155	+	62.0178	NA	promoter-TSS (ENST00000304031.8)	protein_coding-promoter-TSS (ENST00000304031.8)	-25	ENST00000651498.1	ENSG00000118960	ENST00000446825			HS1BP3			protein_coding
rep3_peak_15196	chr2	226772959	226772959	+	58.0787	NA	intron (ENST00000305123.6, intron 1 of 1)	protein_coding-intron (ENST00000305123.6, intron 1 of 1)	22287	ENST00000498335.1	ENSG00000169047	ENST00000305123			IRS1			protein_coding
rep3_peak_21874	chr5	124583966	124583966	+	56.7487	NA	Intergenic	Intergenic	-47618	ENST00000503145.1	ENSG00000248296	ENST00000503145			ENSG00000248296			lncRNA
rep3_peak_3103	chr10	16436904	16436904	+	56.5048	NA	promoter-TSS (ENST00000378000.5)	protein_coding-promoter-TSS (ENST00000378000.5)	-39	ENST00000423462.6	ENSG00000165983	ENST00000535784			PTER			protein_coding
rep3_peak_13102	chr2	30146617	30146617	+	55.4985	NA	promoter-TSS (ENST00000261353.9)	protein_coding-promoter-TSS (ENST00000261353.9)	-11	ENST00000691067.2	ENSG00000233862	ENST00000453606			ENSG00000233862			lncRNA
rep3_peak_27636	chr8	129939867	129939867	+	51.1876	NA	promoter-TSS (ENST00000518344.1)	protein_coding-promoter-TSS (ENST00000518344.1)	4	ENST00000658834.1	ENSG00000253720	ENST00000520146			ENSG00000253720			lncRNA
rep3_peak_5522	chr11	102317408	102317408	+	50.1079	NA	promoter-TSS (ENST00000263464.9)	protein_coding-promoter-TSS (ENST00000263464.9)	-76	ENST00000263464.9	ENSG00000023445	ENST00000528940			BIRC3			protein_coding
rep3_peak_25430	chr7	87926860	87926860	+	48.7394	NA	Intergenic	Intergenic	-7283	ENST00000398204.8	ENSG00000008277	ENST00000398209			ADAM22			protein_coding
rep3_peak_5349	chr11	85317220	85317220	+	48.7237	NA	intron (ENST00000706233.1, intron 2 of 25)	protein_coding-intron (ENST00000376104.7, intron 3 of 27)	19352	ENST00000528836.1	ENSG00000254684	ENST00000528836			ENSG00000254684			processed_pseudogene
rep3_peak_19606	chr4	88320858	88320858	+	48.0532	NA	intron (ENST00000701526.1, intron 3 of 3)	lncRNA-intron (ENST00000701526.1, intron 3 of 3)	4084	ENST00000662571.1	ENSG00000246375	ENST00000702217			PPM1K-DT			lncRNA
rep3_peak_28275	chr9	41356825	41356825	+	47.4093	NA	Intergenic	Intergenic	-1287	ENST00000663712.1	ENSG00000290848	ENST00000663712			ENSG00000290848			lncRNA
rep3_peak_11707	chr18	50879036	50879036	+	46.5418	NA	promoter-TSS (ENST00000321341.11)	protein_coding-promoter-TSS (ENST00000321341.11)	-44	ENST00000640530.1	ENSG00000082212	ENST00000639612			ME2			protein_coding
rep3_peak_29555	chrX	55919633	55919633	+	42.5877	NA	intron (ENST00000701614.1, intron 1 of 2)	lncRNA-intron (ENST00000452532.1, intron 1 of 1)	11123	ENST00000700756.1	ENSG00000227486	ENST00000687344			ENSG00000227486			lncRNA
rep3_peak_19513	chr4	81472041	81472041	+	41.3976	NA	promoter-TSS (ENST00000264400.7)	protein_coding-promoter-TSS (ENST00000264400.7)	-113	ENST00000507538.1	ENSG00000138670	ENST00000264400			RASGEF1B			protein_coding
rep3_peak_1104	chr1	91022103	91022103	+	40.3853	NA	promoter-TSS (ENST00000337393.10)	protein_coding-promoter-TSS (ENST00000337393.10)	-22	ENST00000498303.5	ENSG00000122482	ENST00000479798			ZNF644			protein_coding
